Year-Month,Rainfall (mm),Flood Risk
1981-06,0.0,Safe
1981-07,234.0,WARNING
1981-08,70.0,Safe
1981-09,166.0,Safe
1981-10,22.0,Safe
1982-06,12.0,Safe
1982-07,262.6,WARNING
1982-08,36.0,Safe
1982-09,116.0,Safe
1982-10,0.0,Safe
1983-06,0.0,Safe
1983-07,567.2,DANGER
1983-08,616.4,DANGER
1983-09,62.8,Safe
1983-10,0.0,Safe
1984-06,194.2,Safe
1984-07,564.8000000000001,DANGER
1984-08,242.0,WARNING
1984-09,62.0,Safe
1984-10,0.0,Safe
1985-06,241.4,WARNING
1985-07,1157.8,DANGER
1985-08,272.2,WARNING
1985-09,759.2,DANGER
1985-10,115.2,Safe
1986-06,274.20000000000005,WARNING
1986-07,485.8,DANGER
1986-08,719.2,DANGER
1986-09,290.6,WARNING
1986-10,122.0,Safe
1987-06,26.799999999999997,Safe
1987-07,537.4,DANGER
1987-08,1439.0,DANGER
1987-09,798.0,DANGER
1987-10,37.2,Safe
1988-06,54.6,Safe
1988-07,687.8000000000001,DANGER
1988-08,1111.4,DANGER
1988-09,469.2,DANGER
1988-10,100.0,Safe
1989-06,216.0,WARNING
1989-07,701.0,DANGER
1989-08,214.2,WARNING
1989-09,630.0,DANGER
1989-10,0.0,Safe
1990-06,57.199999999999996,Safe
1990-07,724.6,DANGER
1990-08,209.0,WARNING
1990-09,358.4,DANGER
1990-10,19.0,Safe
1991-06,39.6,Safe
1991-07,175.4,Safe
1991-08,566.6,DANGER
1991-09,150.4,Safe
1991-10,0.0,Safe
1992-06,80.8,Safe
1992-07,447.2,DANGER
1992-08,526.6,DANGER
1992-09,211.6,WARNING
1992-10,174.6,Safe
1993-06,205.4,WARNING
1993-07,434.2,DANGER
1993-08,695.8,DANGER
1993-09,849.4,DANGER
1993-10,30.6,Safe
1994-06,75.6,Safe
1994-07,222.0,WARNING
1994-08,535.4,DANGER
1994-09,595.8,DANGER
1994-10,0.0,Safe
1995-06,159.20000000000002,Safe
1995-07,468.2,DANGER
1995-08,910.4,DANGER
1995-09,393.6,DANGER
1995-10,0.0,Safe
1996-06,156.39999999999998,Safe
1996-07,400.0,DANGER
1996-08,510.8,DANGER
1996-09,311.59999999999997,DANGER
1996-10,313.6,DANGER
1997-06,61.2,Safe
1997-07,267.4,WARNING
1997-08,178.8,Safe
1997-09,432.40000000000003,DANGER
1997-10,0.0,Safe
1998-06,11.6,Safe
1998-07,444.0,DANGER
1998-08,645.2,DANGER
1998-09,303.2,DANGER
1998-10,49.6,Safe
1999-06,573.0,DANGER
1999-07,1244.0,DANGER
1999-08,1661.4,DANGER
1999-09,135.6,Safe
1999-10,342.0,DANGER
2000-06,609.0,DANGER
2000-07,218.9,WARNING
2000-08,214.0,WARNING
2000-09,220.4,WARNING
2000-10,0.0,Safe
2001-06,158.0,Safe
2001-07,269.7,WARNING
2001-08,258.2,WARNING
2001-09,471.2,DANGER
2001-10,276.4,WARNING
2002-06,518.4,DANGER
2002-07,816.2,DANGER
2002-08,220.8,WARNING
2002-09,156.2,Safe
2002-10,4.4,Safe
2003-06,249.4,WARNING
2003-07,321.4,DANGER
2003-08,315.8,DANGER
2003-09,206.6,WARNING
2003-10,57.4,Safe
2004-06,164.6,Safe
2004-07,1171.6,DANGER
2004-08,159.4,Safe
2004-09,42.6,Safe
2004-10,0.0,Safe
2005-06,75.2,Safe
2005-07,254.6,WARNING
2005-08,557.0,DANGER
2005-09,24.799999999999997,Safe
2005-10,30.0,Safe
2006-06,71.3,Safe
2006-07,157.8,Safe
2006-08,191.4,Safe
2006-09,668.2,DANGER
2006-10,4.0,Safe
2007-06,88.2,Safe
2007-07,541.4,DANGER
2007-08,657.0,DANGER
2007-09,189.2,Safe
2007-10,50.2,Safe
2008-06,201.39999999999998,WARNING
2008-07,564.8,DANGER
2008-08,249.8,WARNING
2008-09,305.0,DANGER
2008-10,20.2,Safe
2009-06,0.0,Safe
2009-07,190.2,Safe
2009-08,452.0,DANGER
2009-09,132.6,Safe
2009-10,35.2,Safe
2010-06,58.4,Safe
2010-07,447.4,DANGER
2010-08,424.6,DANGER
2010-09,279.6,WARNING
2010-10,63.6,Safe
2011-06,59.2,Safe
2011-07,530.6,DANGER
2011-08,209.2,WARNING
2011-09,413.2,DANGER
2011-10,0.0,Safe
2012-01,0.0,Safe
2012-06,106.6,Safe
2012-07,283.1,WARNING
2012-08,166.2,Safe
2012-09,255.4,WARNING
2012-10,0.2,Safe
2013-06,138.0,Safe
2013-07,187.0,Safe
2013-08,120.8,Safe
2013-09,153.0,Safe
2013-10,255.4,WARNING
2014-06,147.79999999999998,Safe
2014-07,194.6,Safe
2014-08,391.2,DANGER
2014-09,128.6,Safe
2014-10,76.6,Safe
2015-05,0.0,Safe
2015-06,4.2,Safe
2015-07,138.0,Safe
2015-08,435.1,DANGER
2015-09,53.39999999999999,Safe
2015-10,14.4,Safe
2016-06,26.2,Safe
2016-07,100.8,Safe
2016-08,28.200000000000003,Safe
2016-09,79.0,Safe
2016-10,4.2,Safe
2017-06,15.0,Safe
2017-07,129.0,Safe
2017-08,166.0,Safe
2017-09,101.2,Safe
2017-10,5.2,Safe
2017-11,0.0,Safe
2017-12,0.0,Safe
2018-01,0.0,Safe
2018-02,0.0,Safe
2018-03,0.0,Safe
2018-04,12.0,Safe
2018-05,8.8,Safe
2018-06,22.0,Safe
2018-07,88.2,Safe
2018-08,124.39999999999999,Safe
2018-09,72.8,Safe
2018-10,0.0,Safe
2018-11,0.0,Safe
2018-12,0.0,Safe
2019-01,3.2,Safe
2019-02,15.2,Safe
2019-03,1.2,Safe
2019-04,6.0,Safe
2019-05,7.2,Safe
2019-06,841.5,DANGER
2019-07,2968.4,DANGER
2019-08,728.0,DANGER
2019-09,6547.1,DANGER
2019-10,5.0,Safe
2019-11,48.0,Safe
2019-12,1.4,Safe
2020-01,255.8,WARNING
2020-02,25.4,Safe
2020-03,13.6,Safe
2020-04,881.1,DANGER
2020-05,46.2,Safe
2020-06,203.8,WARNING
2020-07,1475.8,DANGER
2020-08,158.4,Safe
2020-09,144.6,Safe
2020-10,0.0,Safe
2020-11,0.0,Safe
2020-12,0.0,Safe
2021-01,0.0,Safe
2021-02,0.0,Safe
2021-03,0.0,Safe
2021-04,39.4,Safe
2021-05,150.0,Safe
2021-06,186.39999999999998,Safe
2021-07,92.8,Safe
2021-08,324.2,DANGER
2021-09,45.4,Safe
2021-10,161.2,Safe
2021-11,0.0,Safe
2021-12,15.4,Safe
2022-01,1.6,Safe
2022-02,6.4,Safe
2022-03,0.0,Safe
2022-04,0.0,Safe
2022-05,19725.3,DANGER
2022-06,35978.9,DANGER
2022-07,79014.9,DANGER
2022-08,86947.3,DANGER
2022-09,74674.3,DANGER
2022-10,67775.2,DANGER
2022-11,63884.0,DANGER
2022-12,71059.5,DANGER
2023-01,26652.0,DANGER
2023-02,2309.5,DANGER
2023-03,2397.0,DANGER
2023-04,1654.4,DANGER
2023-05,2572.4,DANGER
2023-06,1665.4,DANGER
2023-07,1450.4,DANGER
2023-08,1725.5,DANGER
2023-09,1822.2,DANGER
2023-10,16914.6,DANGER
2023-11,38161.5,DANGER
2023-12,38449.5,DANGER
2024-01,41119.5,DANGER
2024-02,2747.0,DANGER
2024-03,28.8,Safe
2024-04,3402.5,DANGER
2024-05,20398.8,DANGER
2024-06,23086.5,DANGER
2024-07,15255.6,DANGER
2024-08,11854.0,DANGER
2024-09,4077.9,DANGER
2024-10,23860.5,DANGER
2024-11,15191.0,DANGER
2024-12,19062.0,DANGER
2025-01,19157.0,DANGER
