Year-Month,Rainfall (mm),Flood Risk
2009-09,0.0,Safe
2010-06,0.0,Safe
2010-07,0.0,Safe
2010-08,0.0,Safe
2010-09,0.0,Safe
2010-10,0.0,Safe
2019-01,0.0,Safe
2019-02,-0.01,Safe
2019-03,0.0,Safe
2019-04,0.0,Safe
2019-05,2.2,Safe
2019-06,0.0,Safe
2019-07,489.1,DANGER
2019-08,237.9,WARNING
2019-09,461.0,DANGER
2019-10,30.2,Safe
2019-11,0.0,Safe
2019-12,0.0,Safe
2020-01,0.0,Safe
2020-02,32.0,Safe
2020-03,47.0,Safe
2020-05,110.8,Safe
2020-06,662.8,DANGER
2020-07,518.6,DANGER
2020-08,266.4,WARNING
2020-09,357.4,DANGER
2020-10,12.4,Safe
2020-11,0.0,Safe
2020-12,0.0,Safe
2021-01,0.0,Safe
2021-02,0.0,Safe
2021-03,9.4,Safe
2021-04,12.4,Safe
2021-05,289.7,WARNING
2021-06,240.8,WARNING
2021-07,330.6,DANGER
2021-08,244.8,WARNING
2021-09,73.2,Safe
2021-10,284.0,WARNING
2021-11,0.0,Safe
2021-12,6.2,Safe
2022-01,2.0,Safe
2022-02,29.0,Safe
2022-03,0.0,Safe
2022-04,55.0,Safe
2022-05,99.2,Safe
2022-06,605.2,DANGER
2022-07,129.0,Safe
2022-08,20.4,Safe
2023-10,0.0,Safe
2024-01,0.0,Safe
2024-03,70.6,Safe
2024-04,0.0,Safe
2024-05,87.19999999999999,Safe
2024-06,241.6,WARNING
2024-07,332.40000000000003,DANGER
2024-08,150.4,Safe
2024-09,325.2,DANGER
2024-10,10.2,Safe
2024-11,0.0,Safe
2024-12,0.0,Safe
2025-01,0.0,Safe
